type,name,fullname,category,nomad_cycles,measured_cycles,measured_by,notes
30,LFOSlvE,Triangle Slave LFO,LFO,0.34375,0.3177,Clavia editor menu,exact (unique integer cost at 1/3148)
31,Noise,Noise Generator,Oscillator,1.65625,1.6995,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
32,FilterBank,14 Band Filter Bank,Filter,17.9375,17.9956,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
33,ClkRndGen,Clocked Random Step Generator,LFO,0.625,0.6036,Clavia editor menu,exact (unique integer cost at 1/3148)
34,RndStepGen,Random Step Generator,LFO,0.625,0.6036,Clavia editor menu,exact (unique integer cost at 1/3148)
35,RndPulsGen,Random Pulse Generator,LFO,0.34375,0.3177,Clavia editor menu,exact (unique integer cost at 1/3148)
36,PosEdgeDelay,Positive Edge delay,Logic,0.28125,0.2541,Clavia editor menu,exact (unique integer cost at 1/3148)
37,LogicDelay,Logic Delay,Logic,0.625,0.6036,Clavia editor menu,exact (unique integer cost at 1/3148)
38,Pulse,Pulse,Logic,0.34375,0.3177,Clavia editor menu,exact (unique integer cost at 1/3148)
39,Smooth,Control Signal Smoother,Control,0.25,0.2224,Clavia editor menu,exact (unique integer cost at 1/3148)
